DATE,MRTSSM4453USN
01-01-1992,1509
01-02-1992,1541
01-03-1992,1597
01-04-1992,1675
01-05-1992,1822
01-06-1992,1775
01-07-1992,1912
01-08-1992,1862
01-09-1992,1770
01-10-1992,1882
01-11-1992,1831
01-12-1992,2511
01-01-1993,1614
01-02-1993,1529
01-03-1993,1678
01-04-1993,1713
01-05-1993,1796
01-06-1993,1792
01-07-1993,1950
01-08-1993,1777
01-09-1993,1707
01-10-1993,1757
01-11-1993,1782
01-12-1993,2443
01-01-1994,1548
01-02-1994,1505
01-03-1994,1714
01-04-1994,1757
01-05-1994,1830
01-06-1994,1857
01-07-1994,1981
01-08-1994,1858
01-09-1994,1823
01-10-1994,1806
01-11-1994,1845
01-12-1994,2577
01-01-1995,1555
01-02-1995,1501
01-03-1995,1725
01-04-1995,1699
01-05-1995,1807
01-06-1995,1863
01-07-1995,1886
01-08-1995,1861
01-09-1995,1845
01-10-1995,1788
01-11-1995,1879
01-12-1995,2598
01-01-1996,1679
01-02-1996,1652
01-03-1996,1837
01-04-1996,1798
01-05-1996,1957
01-06-1996,1958
01-07-1996,2034
01-08-1996,2062
01-09-1996,1781
01-10-1996,1860
01-11-1996,1992
01-12-1996,2547
01-01-1997,1706
01-02-1997,1621
01-03-1997,1853
01-04-1997,1817
01-05-1997,2060
01-06-1997,2002
01-07-1997,2098
01-08-1997,2079
01-09-1997,1892
01-10-1997,2050
01-11-1997,2082
01-12-1997,2821
01-01-1998,1846
01-02-1998,1768
01-03-1998,1894
01-04-1998,1963
01-05-1998,2140
01-06-1998,2059
01-07-1998,2209
01-08-1998,2118
01-09-1998,2031
01-10-1998,2163
01-11-1998,2154
01-12-1998,3037
01-01-1999,1866
01-02-1999,1808
01-03-1999,1986
01-04-1999,2099
01-05-1999,2210
01-06-1999,2145
01-07-1999,2339
01-08-1999,2140
01-09-1999,2126
01-10-1999,2219
01-11-1999,2273
01-12-1999,3265
01-01-2000,1920
01-02-2000,1976
01-03-2000,2190
01-04-2000,2132
01-05-2000,2357
01-06-2000,2413
01-07-2000,2463
01-08-2000,2422
01-09-2000,2358
01-10-2000,2352
01-11-2000,2549
01-12-2000,3375
01-01-2001,2109
01-02-2001,2052
01-03-2001,2327
01-04-2001,2231
01-05-2001,2470
01-06-2001,2526
01-07-2001,2483
01-08-2001,2518
01-09-2001,2316
01-10-2001,2409
01-11-2001,2638
01-12-2001,3542
01-01-2002,2114
01-02-2002,2109
01-03-2002,2366
01-04-2002,2300
01-05-2002,2569
01-06-2002,2486
01-07-2002,2568
01-08-2002,2595
01-09-2002,2297
01-10-2002,2401
01-11-2002,2601
01-12-2002,3488
01-01-2003,2121
01-02-2003,2046
01-03-2003,2273
01-04-2003,2333
01-05-2003,2576
01-06-2003,2433
01-07-2003,2611
01-08-2003,2660
01-09-2003,2461
01-10-2003,2641
01-11-2003,2660
01-12-2003,3654
01-01-2004,2293
01-02-2004,2219
01-03-2004,2398
01-04-2004,2553
01-05-2004,2685
01-06-2004,2643
01-07-2004,2867
01-08-2004,2622
01-09-2004,2618
01-10-2004,2727
01-11-2004,2763
01-12-2004,3801
01-01-2005,2219
01-02-2005,2316
01-03-2005,2530
01-04-2005,2640
01-05-2005,2709
01-06-2005,2783
01-07-2005,2924
01-08-2005,2791
01-09-2005,2784
01-10-2005,2801
01-11-2005,2933
01-12-2005,4137
01-01-2006,2424
01-02-2006,2519
01-03-2006,2753
01-04-2006,2791
01-05-2006,3017
01-06-2006,3055
01-07-2006,3117
01-08-2006,3024
01-09-2006,2997
01-10-2006,2913
01-11-2006,3137
01-12-2006,4269
01-01-2007,2569
01-02-2007,2603
01-03-2007,3005
01-04-2007,2867
01-05-2007,3262
01-06-2007,3364
01-07-2007,3322
01-08-2007,3292
01-09-2007,3057
01-10-2007,3087
01-11-2007,3297
01-12-2007,4403
01-01-2008,2675
01-02-2008,2806
01-03-2008,2989
01-04-2008,2997
01-05-2008,3420
01-06-2008,3279
01-07-2008,3517
01-08-2008,3472
01-09-2008,3151
01-10-2008,3351
01-11-2008,3386
01-12-2008,4461
01-01-2009,2913
01-02-2009,2781
01-03-2009,3024
01-04-2009,3130
01-05-2009,3467
01-06-2009,3307
01-07-2009,3555
01-08-2009,3399
01-09-2009,3263
01-10-2009,3425
01-11-2009,3356
01-12-2009,4625
01-01-2010,2878
01-02-2010,2916
01-03-2010,3214
01-04-2010,3310
01-05-2010,3467
01-06-2010,3438
01-07-2010,3657
01-08-2010,3454
01-09-2010,3365
01-10-2010,3497
01-11-2010,3524
01-12-2010,4681
01-01-2011,2888
01-02-2011,2984
01-03-2011,3249
01-04-2011,3363
01-05-2011,3471
01-06-2011,3551
01-07-2011,3740
01-08-2011,3576
01-09-2011,3517
01-10-2011,3515
01-11-2011,3646
01-12-2011,4892
01-01-2012,2995
01-02-2012,3202
01-03-2012,3550
01-04-2012,3409
01-05-2012,3786
01-06-2012,3816
01-07-2012,3733
01-08-2012,3752
01-09-2012,3503
01-10-2012,3626
01-11-2012,3869
01-12-2012,5124
01-01-2013,3155
01-02-2013,3227
01-03-2013,3624
01-04-2013,3488
01-05-2013,3947
01-06-2013,3809
01-07-2013,4034
01-08-2013,4100
01-09-2013,3631
01-10-2013,3787
01-11-2013,4059
01-12-2013,5215
01-01-2014,3381
01-02-2014,3310
01-03-2014,3652
01-04-2014,3702
01-05-2014,4165
01-06-2014,4036
01-07-2014,4242
01-08-2014,4219
01-09-2014,3814
01-10-2014,4090
01-11-2014,4103
01-12-2014,5572
01-01-2015,3572
01-02-2015,3482
01-03-2015,3857
01-04-2015,3867
01-05-2015,4335
01-06-2015,4217
01-07-2015,4532
01-08-2015,4260
01-09-2015,4073
01-10-2015,4273
01-11-2015,4266
01-12-2015,5816
01-01-2016,3607
01-02-2016,3769
01-03-2016,4045
01-04-2016,4108
01-05-2016,4396
01-06-2016,4468
01-07-2016,4745
01-08-2016,4475
01-09-2016,4431
01-10-2016,4436
01-11-2016,4676
01-12-2016,6057
01-01-2017,3740
01-02-2017,3774
01-03-2017,4266
01-04-2017,4273
01-05-2017,4673
01-06-2017,4703
01-07-2017,4828
01-08-2017,4677
01-09-2017,4568
01-10-2017,4567
01-11-2017,4879
01-12-2017,6284
01-01-2018,3991
01-02-2018,3992
01-03-2018,4670
01-04-2018,4362
01-05-2018,4950
01-06-2018,4990
01-07-2018,5011
01-08-2018,4945
01-09-2018,4650
01-10-2018,4789
01-11-2018,5176
01-12-2018,6442
01-01-2019,4134
01-02-2019,4116
01-03-2019,4673
01-04-2019,4580
01-05-2019,5109
01-06-2019,5011
01-07-2019,5245
01-08-2019,5270
01-09-2019,4680
01-10-2019,4913
01-11-2019,5312
01-12-2019,6630
01-01-2020,4388
01-02-2020,4533
01-03-2020,5562
01-04-2020,5207
